sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
1480,5413//,1,1,1,.5,.5,.5,.033084311,.098837212,.045270726,.043536782,,0,1,.033084311,,,,,,,1
1481,213115,1,1,1,.5,.5,.5,.96691567,.9011628,.95472926,,,0,1,.96691567,both,.95646322,1812,155,182629,60674,1
1481,541360,1,1,1,.5,.5,.5,.033084311,.098837212,.045270726,,,0,1,.033084311,both,.043536782,62,17,8313,2877,1
1490,2123//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1499,212319,1,1,1,.5,.5,.5,.023186976,.023148147,.019188898,,,0,1,.023186976,both,.028758626,94,5,18185,2688,1
1499,212399,1,1,1,.5,.5,.5,.97681302,.97685188,.98081112,,,0,1,.97681302,both,.97124135,3960,211,614147,137393,1
149\,484///,1,,1,.07692308,,.07692308,.0085271318,.0085271318,.0085271318,,,0,1,.0085271318,fk,.0085271318,749.5849761962891,11,9415.675720214844,40674.0791015625,1
149\,4931//,1,,1,.07692308,,.07692308,.018604651,.018604651,.018604651,,,0,1,.018604651,fk,.018604651,1635.458129882813,24,20543.29248046875,88743.4453125,1
149\,514210,1,,1,.07692308,,.07692308,.0085271318,.0085271318,.0085271318,,,0,1,.0085271318,fk,.0085271318,749.5849761962891,11,9415.675720214844,40674.0791015625,1
149\,5411//,1,,1,.07692308,,.07692308,.0031007752,.0031007752,.0031007754,,,0,1,.0031007752,fk,.0031007752,272.5763549804688,4,3423.882080078125,14790.57421875,1
149\,5412//,1,,1,.07692308,,.07692308,.02248062,.02248062,.022480622,,,0,1,.02248062,fk,.02248062,1976.178573608398,29,24823.14508056641,107231.6630859375,1
149\,5417//,1,,1,.07692308,,.07692308,.021705426,.021705426,.021705426,,,0,1,.021705426,fk,.021705426,1908.034484863281,28,23967.17456054688,103534.01953125,1
149\,5418//,1,,1,.07692308,,.07692308,.0007751938,.0007751938,.00077519385,,,0,1,.0007751938,fk,.0007751938,68.14408874511719,1,855.9705200195313,3697.6435546875,1
149\,551114,1,,1,.07692308,,.07692308,.77674419,.77674419,.77674419,,,0,1,.77674419,fk,.77674419,68280.37692260742,1002,857682.4610595703,3705038.841796875,1
149\,5613//,1,,1,.07692308,,.07692308,.0046511628,.0046511628,.0046511628,,,0,1,.0046511628,fk,.0046511628,408.8645324707031,6,5135.823120117188,22185.861328125,1
149\,56161/,1,,1,.07692308,,.07692308,.0023255814,.0023255814,.0023255814,,,0,1,.0023255814,fk,.0023255814,204.4322662353516,3,2567.911560058594,11092.9306640625,1
149\,5617//,1,,1,.07692308,,.07692308,.0015503876,.0015503876,.0015503877,,,0,1,.0015503876,fk,.0015503876,136.2881774902344,2,1711.941040039063,7395.287109375,1
149\,811///,1,,1,.07692308,,.07692308,.037209302,.037209302,.037209302,,,0,1,.037209302,fk,.037209302,3270.916259765625,48,41086.5849609375,177486.890625,1
